Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.193805339,1.968608169,1.723693234,1.888664048,1.797197091,1.977448313,1.943789826,1.977159409,1.795538002,2.047775234,1.903463583,1.802771358,1.879251035,1.533072823,1.319946102,1.283975116,1.372939796,1.224147211,1.228358246,1.214169758,1.049085936,1.109270577,1.069106094,1.060065404,1.035382845,0.990754227,0.938183173,0.845860834,0.884735038,0.887322994,0.860925459,0.744567483,
Australia,AUS,"Internally displaced persons, new displacement associated with disasters (number of cases)",VC.IDP.NWDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,7500,1000,10000,16000,13000,1200,5700,3200,31000,11000,25000,51000,49000,17000
Australia,AUS,"Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval",VA.PER.RNK.UPPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,100,,100,100,99.5192337,100,100,100,100,100,100,100,99.53051758,98.59155273,99.01477814,99.50739288,99.50739288,99.50739288,99.51690674,96.13526917,98.06763458,98.55072784,
Australia,AUS,Voice and Accountability: Estimate,VA.EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.440202951,,1.407491207,,1.471305132,,1.407233238,1.442127824,1.501541972,1.507055759,1.382794738,1.369199991,1.368076086,1.383790851,1.419765472,1.453721046,1.499190331,1.436413765,1.361743808,1.355610847,1.353697181,1.375639081,1.380580783,1.267398,1.303583741,1.379442096,
Australia,AUS,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3856932141,4467054952,3840218927,4554403968,5598902061,5466439333,5341235868,5455317567,5089628319,5375124772,4900487730,5231519687,6347419761,5597904737,6309320488,
Australia,AUS,Merchandise exports to low- and middle-income economies within region (% of total merchandise exports),TX.VAL.MRCH.WR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),TX.VAL.MRCH.R5.ZS,3.410944683,3.057515501,3.263162426,2.530368021,2.300742283,2.674637062,2.650260293,4.571477644,1.758023289,1.606179326,1.583231549,1.394487834,1.093296363,1.044986715,3.452764736,2.193539067,2.167978648,1.541955642,1.268690844,2.381407308,1.486198516,1.794207441,2.299944732,1.14498627,1.468292401,2.110510077,1.777888925,1.540015623,1.867360427,1.824550882,1.793541191,1.861315323,2.003123294,2.140363533,2.03492663,2.135186533,2.508745015,3.122771449,3.311994318,3.072080868,2.576892842,2.902544119,2.972624341,3.810025969,5.51951404,5.678892189,5.972620194,5.992211833,6.530490539,8.139444449,7.699322582,6.321008966,5.508541572,4.109188938,3.793710318,4.908513315,4.27375349,5.722492137,5.101246481,3.991840831,3.410886548,,
Australia,AUS,Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports),TX.VAL.MRCH.R1.ZS,5.269662366,10.71199487,8.188040811,11.41909671,10.02250361,11.10162254,10.48430352,14.26976584,12.16415791,12.40436589,12.11747285,9.525048,8.818991207,9.170272408,12.6756132,11.40275803,9.91488395,11.57263173,12.42651848,12.89048095,12.91318305,12.53314352,12.3217759,11.1493655,10.46128515,10.82542459,11.8471537,11.1973162,10.23036262,10.95916221,11.55319792,11.97149399,13.14442422,14.41852799,16.14974707,16.99340211,18.24421898,17.66964195,13.78084582,14.53916738,15.664186,15.77643042,16.49222579,17.72362885,19.37920612,21.66260805,22.39523784,23.91951127,23.30280432,30.35006658,33.59550734,36.28196856,38.33461534,44.27834587,42.62341924,40.84209511,40.79089459,42.32651272,43.11087263,45.96257653,45.75411476,,
Australia,AUS,Merchandise exports to economies in the Arab World (% of total merchandise exports),TX.VAL.MRCH.AL.ZS,1.300113698,1.342741073,1.080545869,1.084958368,1.293117926,1.31853117,1.211547563,2.198431328,1.150241409,1.051442269,1.848846353,3.464418759,2.392324663,1.506479899,3.571402814,4.388253979,3.448024355,4.049288138,4.017197655,5.15678111,6.142068228,6.3166222,6.401107718,4.867619128,5.928501053,6.368081408,4.942403511,3.564694743,3.097596998,3.438249914,3.426917415,2.45652257,2.461814762,2.687011049,2.328747585,1.892706475,2.764982805,3.5497743,4.201242348,4.167797648,4.491928958,5.658872326,5.454916441,5.208347895,5.155655235,3.822005959,4.043707163,4.202546562,4.175465034,3.379285833,2.815915444,2.716011955,2.796186872,3.429107735,3.383494914,3.877031536,2.777994084,2.760985906,2.691404527,2.165581259,1.972484258,,
Australia,AUS,ICT goods exports (% of total goods exports),TX.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.852188763,2.686933711,2.241106881,2.236679978,1.979845455,1.679849509,1.449087265,1.375853237,1.11078998,1.070662959,0.961811529,0.845926462,0.875956631,0.91618936,1.08033523,1.403723827,1.307327222,1.103862553,1.002858083,1.101869093,1.038794094,0.865600016,
Australia,AUS,Export unit value index (2015 = 100),TX.UVI.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.31843828,51.33812606,52.34317936,57.47686228,67.54140813,79.99391979,91.13421398,101.862281,127.6265832,110.6942488,135.2595611,171.3177203,158.4803667,147.0001254,132.2047144,100,95.58040908,115.1871281,121.8985055,127.8372753,122.8885998,171.9518615,
Australia,AUS,Travel services (% of commercial service imports),TM.VAL.TRVL.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.99492323,30.62446897,28.62890902,28.56544945,27.18920578,27.63955962,29.58441652,31.22505467,32.4463003,32.70095221,32.8329673,33.69438833,33.44751914,32.81194469,33.54274598,38.29020852,38.47890748,38.33788672,39.66948329,40.02379605,44.3423131,44.40302207,44.53806258,42.71009868,46.88331771,47.50382087,46.50400964,50.04731366,50.38285627,51.10254261,49.61070905,17.27026271,2.919211499,24.75900671
Australia,AUS,Import value index (2015 = 100),TM.VAL.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.39207133,31.37978566,31.60261455,30.9972931,33.1690355,34.30620147,30.64161099,34.86293798,42.72616969,52.46215213,60.0865838,66.78775756,79.29754247,96.05383415,79.36229042,96.70898757,116.8825325,125.1506068,116.1338543,113.8373457,100,94.133713,109.7260926,112.8943656,106.2650689,101.5938515,125.2584262,
